"date_of_interest","Bronx_CASE_COUNT","Brooklyn_CASE_COUNT","Manhattan_CASE_COUNT","Queens_CASE_COUNT","StatenIsland_CASE_COUNT","Bronx_DEATH_COUNT","Brooklyn_DEATH_COUNT","Manhattan_DEATH_COUNT","Queens_DEATH_COUNT","StatenIsland_DEATH_COUNT","Bronx_HOSPITALIZED_COUNT","Brooklyn_HOSPITALIZED_COUNT","Manhattan_HOSPITALIZED_COUNT","Queens_HOSPITALIZED_COUNT","StatenIsland_HOSPITALIZED_COUNT"
2021-02-22,752,1117,547,981,228,12,27,10,18,5,80,116,53,85,13
2021-02-23,731,1073,532,934,201,18,20,12,20,3,69,110,46,93,14
2021-02-24,713,1023,568,943,217,13,22,19,16,8,72,107,48,118,10
2021-02-25,715,1027,514,962,263,18,21,12,18,3,70,86,45,80,11
2021-02-26,676,943,517,889,216,12,15,18,22,4,55,98,54,105,15
2021-02-27,377,625,248,630,138,8,28,8,19,2,48,68,32,81,12
2021-02-28,329,734,252,573,150,11,23,10,23,2,55,86,28,69,6
2021-03-01,731,1174,531,1031,261,4,22,8,23,5,74,85,49,98,17
2021-03-02,562,936,495,860,255,10,15,5,18,5,55,80,48,69,21
2021-03-03,638,956,523,861,267,20,14,16,17,4,68,91,50,85,13
2021-03-04,575,935,495,860,251,10,14,10,21,5,70,99,51,67,10
2021-03-05,554,888,403,806,236,8,18,11,12,5,67,69,33,68,19
2021-03-06,330,594,259,688,172,13,13,12,15,3,43,66,36,83,13
2021-03-07,291,595,238,605,147,10,22,9,16,3,53,70,37,71,15
2021-03-08,625,1107,491,918,259,14,16,11,19,7,60,73,52,94,22
2021-03-09,581,1085,528,916,233,17,18,11,24,1,63,73,47,86,16
2021-03-10,562,958,518,908,259,17,19,7,16,4,57,95,36,81,13
2021-03-11,544,964,464,920,213,13,20,5,13,5,51,99,44,82,15
2021-03-12,573,937,486,965,244,15,26,13,17,1,61,91,36,91,14
2021-03-13,331,627,284,755,177,11,22,7,17,5,39,66,34,78,5
2021-03-14,249,644,224,662,149,8,15,3,12,1,42,82,30,86,11
2021-03-15,564,1063,449,1092,226,6,17,12,5,4,62,83,35,95,18
2021-03-16,570,986,492,935,213,14,19,8,18,5,44,79,40,73,15
2021-03-17,517,941,507,943,267,8,8,12,13,4,45,99,45,70,17
2021-03-18,499,857,446,889,232,11,17,11,16,3,55,100,32,94,24
2021-03-19,546,902,432,896,267,10,8,9,15,3,58,84,35,66,18
2021-03-20,334,660,270,737,160,4,16,9,16,4,53,88,30,73,17
2021-03-21,294,710,233,682,174,7,12,9,18,3,34,93,29,98,19
2021-03-22,654,1215,579,1116,317,15,19,6,11,3,54,99,48,105,23
2021-03-23,566,1027,471,939,253,8,16,10,16,4,60,92,33,84,16
2021-03-24,579,1048,526,1012,288,5,13,4,15,4,61,97,22,91,23
2021-03-25,638,1147,587,1130,296,13,24,10,20,3,52,107,30,98,25
2021-03-26,568,999,495,1044,309,12,23,5,18,6,60,104,36,82,28
2021-03-27,363,632,269,741,215,15,17,9,10,2,54,88,34,78,14
2021-03-28,254,574,224,546,152,10,15,7,19,6,36,61,19,76,16
2021-03-29,626,1043,485,1093,311,14,12,6,15,1,55,100,37,93,20
2021-03-30,593,938,472,936,247,6,15,2,17,2,61,84,35,65,20
2021-03-31,508,959,517,940,261,7,24,8,16,6,49,104,26,91,21
2021-04-01,501,861,446,831,227,14,18,6,16,3,49,101,36,65,14
2021-04-02,360,847,380,812,221,9,23,6,14,2,31,89,34,92,19
2021-04-03,314,638,233,664,201,8,18,6,16,0,46,78,27,73,12
2021-04-04,191,497,180,456,142,10,13,6,15,3,41,66,21,72,13
2021-04-05,505,1039,467,976,284,13,11,7,18,5,46,88,30,86,17
2021-04-06,500,933,463,863,245,8,15,4,15,4,56,74,27,67,7
2021-04-07,467,868,412,789,227,5,9,7,14,7,44,75,22,61,19
2021-04-08,417,813,322,788,236,14,20,7,10,3,38,72,26,71,11
2021-04-09,356,803,321,734,253,9,26,8,10,1,45,52,28,64,19
2021-04-10,231,564,196,583,150,6,13,7,19,3,34,61,25,58,12
2021-04-11,179,462,148,397,129,6,21,8,17,2,27,51,17,58,8
2021-04-12,404,853,332,743,205,7,16,5,12,1,39,58,32,64,12
2021-04-13,385,775,344,693,167,5,13,5,11,2,30,69,30,62,14
2021-04-14,349,722,319,637,214,7,11,6,10,1,36,66,25,52,13
2021-04-15,354,640,283,561,179,7,11,8,11,5,45,65,28,65,17
2021-04-16,259,595,226,565,184,2,14,2,10,2,31,76,21,55,15
2021-04-17,209,411,129,412,115,4,17,5,8,1,25,59,16,55,10
2021-04-18,164,357,128,296,105,2,17,7,7,2,30,67,12,44,14
2021-04-19,287,641,231,543,182,5,15,5,12,4,30,58,20,55,16
2021-04-20,286,518,222,434,146,4,13,2,12,2,26,61,19,39,11
2021-04-21,209,513,181,388,132,2,12,4,17,0,15,43,11,35,13
2021-04-22,226,489,142,375,127,5,17,4,11,3,40,49,13,47,10
2021-04-23,217,438,130,369,134,12,11,6,15,2,23,51,19,46,14
2021-04-24,125,308,87,255,79,3,10,6,9,1,21,30,12,29,9
2021-04-25,95,270,75,245,69,5,6,2,9,2,22,36,17,41,4
2021-04-26,226,498,167,358,122,5,16,2,7,1,30,50,16,43,7
2021-04-27,204,391,145,301,97,5,10,5,9,2,17,45,8,37,9
2021-04-28,190,418,129,362,111,4,12,4,10,0,18,44,19,36,9
2021-04-29,154,392,150,267,90,7,8,3,13,1,20,42,18,27,9
2021-04-30,171,322,103,274,80,5,14,5,11,3,16,33,11,28,3
2021-05-01,86,190,63,181,58,4,10,5,10,2,13,23,13,26,3
2021-05-02,73,220,50,165,60,1,13,3,10,2,14,22,8,16,12
2021-05-03,151,316,127,268,72,4,6,4,5,4,17,29,11,29,4
2021-05-04,156,297,103,239,81,4,9,1,6,6,12,46,11,23,6
2021-05-05,141,243,107,224,61,7,8,4,6,1,15,25,9,26,6
2021-05-06,133,268,100,230,54,3,10,6,7,1,10,22,16,30,5
2021-05-07,137,225,80,193,80,4,10,3,14,4,13,29,9,16,5
2021-05-08,61,121,41,123,38,1,12,4,5,2,11,25,11,16,2
2021-05-09,53,106,48,110,26,5,9,3,8,1,9,18,9,23,1
2021-05-10,130,207,89,178,50,6,8,3,8,0,18,17,9,24,2
2021-05-11,90,216,70,188,64,2,6,7,4,2,15,18,8,24,5
2021-05-12,109,196,68,154,66,1,8,2,5,2,9,25,11,15,4
2021-05-13,93,147,75,151,49,4,7,3,8,1,12,22,7,22,4
2021-05-14,77,145,58,160,46,5,9,3,10,1,16,14,10,24,5
2021-05-15,46,94,33,99,20,2,3,1,4,0,7,21,2,8,4
2021-05-16,48,99,31,84,18,1,7,2,5,1,3,19,4,14,1
2021-05-17,79,151,72,114,37,4,7,0,5,0,11,22,10,24,5
2021-05-18,71,138,60,102,44,2,5,3,4,0,10,16,6,18,2
2021-05-19,74,129,41,106,27,4,7,1,1,1,14,20,8,12,3
2021-05-20,67,134,51,111,33,2,6,3,0,3,12,31,7,12,3
2021-05-21,54,115,48,105,27,2,5,2,3,1,11,11,9,15,6
2021-05-22,35,81,28,68,21,0,5,2,8,2,6,13,4,13,2
2021-05-23,29,63,17,55,23,2,3,0,4,2,4,19,6,13,4
2021-05-24,57,105,51,95,47,0,6,1,3,0,7,9,4,14,1
2021-05-25,48,102,37,81,37,2,1,0,3,0,3,19,5,15,0
2021-05-26,44,81,40,74,10,1,0,1,1,1,4,12,3,10,4
2021-05-27,56,62,39,67,33,1,3,2,1,2,11,11,10,12,3
2021-05-28,36,67,23,66,18,1,3,2,3,3,7,16,5,6,1
2021-05-29,22,32,23,40,9,1,3,0,5,0,6,4,4,11,0
2021-05-30,25,34,16,29,14,2,5,0,1,0,4,14,5,3,1
2021-05-31,15,35,20,38,10,3,2,3,4,0,8,2,3,4,1
2021-06-01,72,59,52,76,30,1,8,2,1,0,5,14,4,10,2
2021-06-02,52,70,33,68,21,1,4,1,5,0,6,15,4,14,5
2021-06-03,45,62,24,61,14,0,4,1,3,2,0,15,3,9,2
2021-06-04,57,66,34,43,25,1,2,1,3,0,6,10,4,3,2
2021-06-05,41,44,17,29,12,0,3,0,2,1,3,3,3,4,3
2021-06-06,24,35,23,33,15,1,2,1,1,0,8,8,2,4,2
2021-06-07,57,64,32,46,19,2,0,0,4,0,8,12,1,8,3
2021-06-08,38,55,27,39,17,0,3,1,4,2,11,7,6,10,1
2021-06-09,56,58,40,40,17,1,5,0,3,0,8,9,1,4,1
2021-06-10,33,46,30,35,12,1,1,1,3,0,6,8,3,6,2
2021-06-11,40,44,38,52,15,1,2,1,3,0,5,5,5,6,2
2021-06-12,25,28,14,39,15,2,1,1,1,0,6,4,3,6,2
2021-06-13,18,35,19,31,12,2,1,2,1,0,4,12,2,10,3
2021-06-14,38,54,29,49,12,1,4,0,1,1,6,12,2,5,1
2021-06-15,30,37,36,57,19,0,3,1,1,1,8,8,1,4,4
2021-06-16,29,46,31,41,26,1,2,4,0,0,6,5,5,7,2
2021-06-17,36,52,26,51,23,3,3,2,1,0,10,9,2,7,1
2021-06-18,19,59,15,47,20,1,3,1,1,2,2,7,4,5,1
2021-06-19,18,29,22,24,14,0,3,1,5,2,4,2,1,3,3
2021-06-20,15,33,14,25,9,0,4,0,1,0,4,10,2,7,2
2021-06-21,27,40,25,50,26,1,0,0,2,0,7,9,4,5,5
2021-06-22,22,50,33,49,17,1,2,1,3,0,3,7,3,14,7
2021-06-23,27,48,39,48,24,1,1,0,3,0,3,11,3,6,1
2021-06-24,18,51,30,47,29,1,3,0,1,0,1,8,1,2,2
2021-06-25,12,61,28,55,24,1,2,1,0,1,4,8,2,4,0
2021-06-26,11,37,15,31,24,0,2,1,0,0,4,7,2,2,3
2021-06-27,17,28,19,23,22,0,0,0,1,0,3,6,3,10,0
2021-06-28,29,49,45,53,30,0,1,1,2,2,3,8,5,8,3
2021-06-29,32,53,42,51,35,1,2,0,1,0,1,8,4,8,0
2021-06-30,30,75,43,51,27,0,2,1,1,0,3,6,4,6,1
2021-07-01,27,63,29,52,33,0,2,0,2,0,3,10,3,7,8
2021-07-02,32,60,61,58,21,1,0,1,4,0,6,13,5,8,5
2021-07-03,18,41,29,33,25,1,2,1,2,0,3,5,5,5,4
2021-07-04,14,32,25,34,19,0,2,0,1,0,1,9,5,7,2
2021-07-05,20,62,32,53,20,1,0,0,1,0,3,5,3,4,1
2021-07-06,48,125,77,80,32,2,1,0,0,0,3,8,3,5,5
2021-07-07,49,147,72,88,44,2,0,0,0,0,2,9,3,7,2
2021-07-08,51,110,80,81,46,1,0,1,0,0,4,8,3,5,3
2021-07-09,56,111,84,88,32,0,1,0,0,1,5,8,7,13,2
2021-07-10,37,63,49,59,30,0,1,0,1,0,2,6,3,9,0
2021-07-11,33,79,53,78,25,1,2,0,0,1,8,6,2,11,1
2021-07-12,70,176,86,110,35,1,0,0,3,0,7,10,2,5,0
2021-07-13,43,152,101,97,64,2,1,0,0,0,6,7,3,8,3
2021-07-14,59,185,143,115,46,0,2,0,0,0,11,13,7,14,2
2021-07-15,71,171,128,129,54,0,1,0,3,1,2,9,6,9,2
2021-07-16,73,183,121,117,61,0,0,2,2,1,7,17,3,10,1
2021-07-17,59,109,60,77,35,2,0,1,3,0,11,8,5,9,6
2021-07-18,36,141,83,106,29,0,1,0,1,0,6,19,4,6,4
2021-07-19,110,276,176,171,78,1,3,0,1,0,9,19,8,16,3
2021-07-20,94,233,162,146,75,1,2,0,1,0,7,21,8,14,4
2021-07-21,128,309,198,197,63,0,0,0,0,1,9,13,6,15,5
2021-07-22,136,326,226,196,88,0,0,1,1,1,15,17,6,11,4
2021-07-23,127,319,200,214,55,0,0,2,1,0,9,18,6,15,5
2021-07-24,58,188,111,141,54,0,2,0,0,0,5,13,7,11,5
2021-07-25,68,214,119,168,67,0,0,1,1,2,8,10,7,12,4
2021-07-26,156,423,261,273,114,0,0,0,0,1,8,21,12,18,4
2021-07-27,141,406,253,296,103,1,1,1,1,1,16,23,7,18,7
2021-07-28,188,384,275,286,108,2,1,2,1,0,13,15,14,32,3
2021-07-29,174,444,234,318,119,0,1,2,4,0,11,21,14,18,13
2021-07-30,160,427,252,321,123,1,4,2,2,0,18,19,11,27,3
2021-07-31,126,263,152,214,95,0,3,1,0,0,8,29,7,20,7
2021-08-01,92,294,152,220,73,0,2,2,5,2,10,17,5,15,3
2021-08-02,237,518,303,388,122,0,2,1,1,0,8,25,9,26,6
2021-08-03,232,489,345,365,153,1,0,1,0,0,18,28,10,31,13
2021-08-04,215,522,330,382,165,1,5,0,1,1,12,37,9,18,13
2021-08-05,208,517,323,366,114,1,2,0,2,1,20,23,19,24,3
2021-08-06,211,520,286,418,141,0,5,4,2,1,18,40,16,28,11
2021-08-07,179,373,179,293,125,2,5,2,3,2,18,28,12,21,8
2021-08-08,156,321,162,301,131,1,2,0,1,2,19,25,16,29,10
2021-08-09,290,626,308,496,173,0,3,3,3,0,29,45,15,41,0
2021-08-10,265,536,306,408,152,0,4,1,0,1,37,33,16,29,6
2021-08-11,262,546,354,438,151,2,1,3,3,0,28,40,12,37,19
2021-08-12,232,578,324,451,172,2,1,3,0,0,21,37,19,32,15
2021-08-13,267,499,294,394,144,2,3,1,3,0,30,48,15,40,7
2021-08-14,146,348,206,253,96,1,4,1,3,1,18,29,11,20,16
2021-08-15,140,422,198,304,81,1,2,1,1,1,15,40,24,25,8
2021-08-16,329,628,352,479,144,1,2,1,0,2,27,44,15,42,7
2021-08-17,296,595,302,418,133,6,4,2,3,1,31,41,17,35,13
2021-08-18,273,555,362,461,163,1,4,0,5,3,24,32,16,24,12
2021-08-19,264,543,325,420,136,2,7,1,2,2,19,30,13,25,10
2021-08-20,284,505,296,349,125,0,3,0,3,0,35,34,18,25,11
2021-08-21,180,338,183,272,118,1,7,1,7,0,26,34,17,32,4
2021-08-22,104,276,98,156,84,3,5,0,0,2,23,32,16,28,6
2021-08-23,289,642,369,492,161,1,5,0,5,1,34,31,19,28,7
2021-08-24,300,613,349,405,168,3,3,1,2,2,18,39,15,32,5
2021-08-25,287,570,371,385,170,3,4,1,0,0,26,32,19,30,4
2021-08-26,252,525,325,389,150,2,4,2,2,3,25,34,11,31,8
2021-08-27,242,464,266,347,133,0,4,2,4,0,27,36,13,25,9
2021-08-28,173,295,153,252,112,1,7,1,4,1,13,26,14,30,3
2021-08-29,138,343,161,257,91,2,7,0,3,1,26,29,11,22,8
2021-08-30,306,583,375,392,182,1,4,1,6,1,31,37,13,32,8
2021-08-31,260,531,305,326,202,1,3,2,2,2,30,35,25,24,12
2021-09-01,225,487,348,360,140,3,2,2,6,0,28,32,21,37,9
2021-09-02,212,478,263,304,174,2,3,3,3,0,31,23,6,24,11
2021-09-03,216,429,248,331,197,3,3,1,0,1,17,26,11,22,4
2021-09-04,126,255,154,260,110,3,4,1,3,1,22,37,13,32,6
2021-09-05,138,334,158,214,110,3,3,3,3,1,16,24,10,16,7
2021-09-06,163,274,181,226,98,5,6,0,4,1,18,23,10,21,6
2021-09-07,285,434,307,373,171,4,2,0,1,0,18,33,25,27,7
2021-09-08,234,466,371,390,131,1,9,3,6,2,22,29,21,25,3
2021-09-09,241,630,313,400,129,3,3,3,8,1,38,27,11,19,8
2021-09-10,232,504,302,378,131,2,6,1,6,0,26,29,11,27,6
2021-09-11,139,335,170,288,104,1,8,0,5,1,13,29,12,22,8
2021-09-12,127,504,222,258,102,3,2,2,3,1,14,30,14,26,6
2021-09-13,223,633,370,391,122,3,4,1,2,2,15,35,24,21,9
2021-09-14,201,609,311,372,147,1,6,1,1,0,12,30,20,16,6
2021-09-15,234,550,320,353,153,0,5,0,4,1,13,36,7,29,11
2021-09-16,193,451,284,322,135,2,2,2,4,1,21,20,11,27,7
2021-09-17,174,559,322,365,104,2,6,1,1,1,12,28,19,26,5
2021-09-18,107,357,138,264,89,2,1,1,6,0,17,29,17,22,3
2021-09-19,140,464,161,213,79,2,9,1,4,0,8,25,13,14,9
2021-09-20,244,545,296,404,150,2,7,2,4,1,26,28,19,19,8
2021-09-21,202,397,284,325,95,1,4,2,6,0,18,25,14,23,5
2021-09-22,205,509,280,307,111,2,6,0,5,0,19,35,14,24,5
2021-09-23,139,513,223,324,90,2,2,1,5,2,16,42,11,21,9
2021-09-24,156,452,238,295,80,4,2,0,2,0,9,35,11,24,2
2021-09-25,100,309,131,191,82,3,5,1,5,1,15,25,5,21,4
2021-09-26,97,333,139,201,86,3,5,0,3,4,10,21,7,13,4
2021-09-27,185,518,254,323,110,5,4,3,5,0,16,29,7,20,4
2021-09-28,158,355,211,296,97,2,5,2,4,0,11,20,10,22,6
2021-09-29,150,369,211,269,96,1,3,1,6,2,16,24,8,13,4
2021-09-30,151,454,200,240,92,0,3,0,4,1,13,22,7,17,6
2021-10-01,134,408,213,256,76,1,2,1,3,1,17,29,8,31,2
2021-10-02,75,280,122,156,48,2,4,0,6,0,18,18,6,20,4
2021-10-03,67,458,95,217,69,3,4,3,2,0,11,28,10,16,2
2021-10-04,158,512,221,293,88,5,3,1,2,1,16,30,9,19,3
2021-10-05,168,507,224,267,105,1,1,0,3,1,10,29,14,14,5
2021-10-06,137,487,219,230,74,4,6,2,2,2,12,13,11,22,7
2021-10-07,121,406,181,273,98,3,2,3,4,1,15,13,8,20,6
2021-10-08,126,451,167,191,77,0,7,2,5,1,8,15,11,10,3
2021-10-09,67,250,95,145,55,0,3,1,4,0,14,26,10,13,4
2021-10-10,62,308,94,151,72,1,5,3,3,4,11,20,7,7,7
2021-10-11,108,363,173,224,67,1,1,0,6,1,9,16,10,15,5
2021-10-12,128,464,201,239,112,0,1,0,1,1,7,14,9,18,4
2021-10-13,122,409,227,237,115,1,2,0,5,1,14,27,14,14,8
2021-10-14,109,426,174,205,111,0,2,1,4,1,11,12,8,17,2
2021-10-15,112,322,164,207,81,2,3,0,3,0,11,12,14,20,4
2021-10-16,56,194,55,137,47,0,4,0,1,1,10,20,5,16,6
2021-10-17,49,260,80,131,66,2,3,1,3,0,2,28,8,9,2
2021-10-18,108,364,142,179,80,1,5,1,3,1,10,20,2,18,9
2021-10-19,93,314,136,172,83,1,3,2,3,1,11,17,8,11,3
2021-10-20,99,294,157,175,75,1,4,0,2,0,8,19,8,9,7
2021-10-21,85,341,132,166,87,2,3,1,6,1,6,18,3,18,6
2021-10-22,86,261,131,139,76,2,1,1,3,2,12,16,5,10,3
2021-10-23,55,162,94,79,61,1,4,0,5,0,7,15,6,10,6
2021-10-24,37,198,68,83,57,3,4,0,4,3,8,16,7,9,4
2021-10-25,94,363,168,187,82,2,5,0,2,0,5,13,4,11,2
2021-10-26,64,238,101,125,69,2,2,1,2,0,6,19,4,9,5
2021-10-27,100,288,146,153,71,0,5,1,3,0,8,18,7,14,2
2021-10-28,82,311,122,145,77,1,2,1,2,1,8,11,10,8,1
2021-10-29,87,230,123,145,56,1,0,1,2,0,6,8,8,8,3
2021-10-30,41,158,61,101,39,0,2,3,4,0,6,12,3,5,4
2021-10-31,47,199,59,109,32,0,0,1,5,1,5,8,8,8,3
2021-11-01,74,314,141,195,56,0,2,1,1,0,7,12,4,13,4
2021-11-02,79,302,173,191,60,1,3,0,2,3,11,18,4,10,7
2021-11-03,75,300,181,202,66,1,1,1,3,0,12,24,5,9,4
2021-11-04,108,349,208,187,53,0,3,0,0,1,6,14,2,15,3
2021-11-05,90,290,148,186,54,1,4,0,1,0,9,13,4,5,4
2021-11-06,57,198,74,136,42,1,2,0,4,4,11,15,4,8,3
2021-11-07,46,206,104,135,52,0,3,1,2,2,4,15,1,9,5
2021-11-08,140,401,230,270,93,2,1,1,3,1,13,15,2,8,6
2021-11-09,100,358,243,246,90,3,5,0,2,2,5,9,5,11,5
2021-11-10,122,363,237,256,68,0,2,1,2,1,12,16,4,12,2
2021-11-11,90,346,167,225,46,1,4,0,1,0,9,22,3,13,3
2021-11-12,109,372,201,256,89,2,6,1,2,3,8,17,6,12,0
2021-11-13,65,241,105,153,50,2,3,0,0,1,5,20,4,10,6
2021-11-14,47,258,142,169,70,2,1,0,1,1,3,17,4,12,4
2021-11-15,136,428,253,320,126,2,3,2,2,0,8,9,11,16,4
2021-11-16,151,430,286,303,100,2,1,1,4,2,7,8,9,13,6
2021-11-17,163,432,281,354,99,1,1,2,2,1,12,17,9,11,4
2021-11-18,172,428,297,318,95,2,3,0,3,0,13,20,2,16,4
2021-11-19,114,353,268,330,119,1,2,1,4,0,4,18,6,21,4
2021-11-20,71,279,143,253,81,2,3,1,4,0,8,17,6,13,3
2021-11-21,74,293,149,233,91,1,1,0,2,0,4,14,9,13,3
2021-11-22,152,518,297,413,148,0,3,0,2,1,12,15,6,18,5
2021-11-23,144,482,286,354,114,1,4,0,1,0,10,21,3,20,11
2021-11-24,160,460,255,386,155,2,6,1,2,1,16,17,11,16,8
2021-11-25,35,189,103,148,56,0,3,0,3,2,11,26,5,23,3
2021-11-26,142,364,198,352,114,1,2,1,4,1,15,19,10,23,10
2021-11-27,100,302,157,307,105,1,3,1,2,2,6,22,13,18,5
2021-11-28,89,318,191,333,128,2,1,0,6,0,9,14,6,24,4
2021-11-29,287,661,455,684,238,1,5,1,3,0,13,31,10,20,8
2021-11-30,278,578,395,574,179,0,3,0,2,1,20,22,10,33,6
2021-12-01,279,700,395,584,220,4,7,0,3,2,15,30,18,25,4
2021-12-02,307,629,396,561,214,3,6,1,3,1,15,33,13,23,7
2021-12-03,241,579,318,554,200,1,7,1,2,2,23,24,17,34,8
2021-12-04,172,382,186,412,169,2,4,1,3,0,17,30,14,20,4
2021-12-05,122,463,238,418,162,0,6,4,4,0,17,30,16,31,10
2021-12-06,365,849,580,749,253,2,3,1,2,0,23,58,16,38,6
2021-12-07,333,896,676,745,268,5,4,0,3,3,29,39,17,42,9
2021-12-08,339,982,808,738,263,2,1,0,4,0,26,50,19,48,5
2021-12-09,354,912,733,748,268,4,3,1,2,0,32,40,17,44,8
2021-12-10,345,983,729,776,253,2,7,1,6,0,44,49,26,40,15
2021-12-11,267,619,483,592,193,1,1,4,2,0,28,42,16,34,11
2021-12-12,258,870,790,661,213,5,7,0,4,1,27,46,15,41,11
2021-12-13,744,2390,2375,1575,440,1,6,2,9,2,37,58,36,61,11
2021-12-14,925,3421,4088,1940,498,1,6,3,5,3,39,65,40,56,10
2021-12-15,1093,4123,4933,2407,607,5,1,2,1,1,50,74,33,55,14
2021-12-16,1329,4515,4786,2619,610,2,4,3,1,2,95,101,56,77,16
2021-12-17,1509,4275,4279,2766,711,2,12,3,5,1,78,76,55,79,19
2021-12-18,1060,3243,2697,2329,613,2,7,3,5,1,51,99,43,70,20
2021-12-19,1072,3439,2714,2632,695,4,12,4,3,1,88,103,53,84,16
2021-12-20,3656,8935,7901,5991,1459,2,9,2,0,0,77,146,76,99,26
2021-12-21,4592,9447,7070,7461,1825,2,1,2,4,2,101,141,79,123,19
2021-12-22,5510,9453,6311,8161,1966,3,12,2,10,1,178,194,114,180,25
2021-12-23,5374,9608,6317,8564,1953,2,5,4,8,4,179,212,111,161,30
2021-12-24,2947,5577,3077,4877,1000,9,18,1,10,2,144,207,79,133,19
2021-12-25,1419,2344,1411,2164,457,7,7,5,9,5,143,201,112,140,22
2021-12-26,3720,7218,3610,6582,1867,4,11,4,12,3,178,258,112,162,32
2021-12-27,9815,15035,8474,14220,3720,8,10,5,12,1,271,318,144,197,36
2021-12-28,9861,14212,7969,14346,3311,6,12,5,13,1,202,270,150,207,41
2021-12-29,10125,14305,7731,14751,3598,13,17,6,4,2,261,296,130,217,53
2021-12-30,9350,13485,7571,13944,3118,5,15,4,9,0,301,327,157,206,55
2021-12-31,5139,8750,4580,8976,1709,10,19,10,15,2,168,292,132,200,42
2022-01-01,1990,3538,1931,3729,876,15,17,8,16,1,205,260,153,209,52
2022-01-02,4917,10154,5083,9887,2477,10,19,7,22,3,354,367,218,313,59
2022-01-03,10560,16665,9113,15224,3420,11,25,8,22,2,348,319,182,260,29
2022-01-04,10276,13843,8750,13395,2956,12,31,9,19,6,320,281,149,220,47
2022-01-05,7965,11198,7095,11459,2534,10,22,15,25,7,290,365,164,264,56
2022-01-06,6986,10468,6332,10492,2094,13,30,22,23,4,272,269,153,217,44
2022-01-07,4233,6874,4350,6435,1317,12,24,14,33,2,206,262,135,188,39
2022-01-08,2701,4842,2526,5020,1107,12,40,10,28,6,202,223,122,168,46
2022-01-09,1860,4692,2110,4571,1123,21,46,16,31,6,164,225,126,168,42
2022-01-10,4505,7550,4063,7299,1614,20,37,19,26,8,257,259,152,206,54
2022-01-11,3357,5554,2883,5457,1284,23,44,19,40,5,185,250,121,175,44
2022-01-12,3012,5679,3211,5417,1119,23,44,24,22,4,163,232,116,204,45
2022-01-13,2506,5251,2548,4818,973,18,44,24,33,6,159,215,121,200,42
2022-01-14,2205,4115,2323,3835,805,28,39,17,39,5,174,208,115,163,30
2022-01-15,887,2236,986,2118,535,14,40,16,25,2,116,172,71,118,41
2022-01-16,789,2413,1178,2061,452,20,49,17,24,3,100,133,64,123,32
2022-01-17,1187,3551,1650,2763,679,24,29,11,31,8,102,164,84,140,49
2022-01-18,1616,3582,2062,2952,707,26,36,13,34,7,122,147,85,138,20
2022-01-19,1251,3003,1739,2472,561,17,28,13,25,7,99,132,66,101,33
2022-01-20,952,2317,1436,1888,449,16,35,24,32,6,101,154,85,100,23
2022-01-21,766,1778,1154,1710,390,18,42,14,26,6,100,139,73,77,15
2022-01-22,465,1200,536,1159,273,10,37,6,24,8,81,94,45,85,19
2022-01-23,351,1234,605,982,227,18,36,17,25,2,60,87,41,78,15
2022-01-24,817,1997,1224,1551,425,16,42,9,29,14,109,97,62,73,15
2022-01-25,582,1604,1000,1248,328,19,37,18,25,2,84,119,43,76,25
2022-01-26,517,1455,900,1075,250,24,29,16,34,5,60,84,45,72,20
2022-01-27,443,1189,786,953,259,13,26,9,23,8,54,93,41,58,29
2022-01-28,307,895,568,756,197,13,30,17,20,14,47,53,40,52,15
2022-01-29,69,140,147,127,29,12,28,13,18,4,23,48,21,39,9
2022-01-30,138,488,319,364,116,16,32,9,24,4,23,52,15,37,17
2022-01-31,638,907,639,706,221,13,34,13,18,7,57,70,20,46,16
2022-02-01,282,757,520,527,148,12,20,9,27,2,31,60,22,54,10
2022-02-02,263,833,528,542,159,12,31,14,27,8,38,51,15,50,11
2022-02-03,253,752,419,457,121,12,22,14,16,8,30,57,16,28,11
2022-02-04,176,495,324,426,117,11,12,11,13,4,24,42,28,43,14
2022-02-05,117,298,195,266,70,13,12,9,11,3,30,33,17,30,7
2022-02-06,70,263,219,239,78,9,21,9,7,7,17,26,16,38,9
2022-02-07,190,529,368,404,111,5,18,4,6,4,20,32,19,28,4
2022-02-08,196,528,376,314,101,8,28,6,12,2,36,47,13,28,5
2022-02-09,158,407,342,329,80,8,13,8,15,4,24,39,15,29,7
2022-02-10,128,402,298,325,72,4,14,5,12,7,20,34,14,16,3
2022-02-11,133,317,236,229,67,10,10,7,10,5,21,33,11,31,10
2022-02-12,67,214,146,150,59,7,6,4,10,5,15,23,13,10,8
2022-02-13,55,153,105,110,35,12,17,4,7,3,15,11,10,14,6
2022-02-14,96,357,277,218,69,3,10,3,2,4,18,27,12,20,3
2022-02-15,91,299,269,206,74,2,5,5,11,1,14,28,7,16,8
2022-02-16,89,317,250,220,60,7,10,2,9,2,11,25,9,21,3
2022-02-17,81,268,232,205,45,6,15,11,7,1,9,20,17,23,4
2022-02-18,70,214,149,174,56,4,13,8,7,3,15,12,8,20,6
2022-02-19,40,103,123,125,34,6,10,2,12,1,11,16,6,13,2
2022-02-20,45,115,118,73,31,3,8,0,4,1,11,14,4,7,3
2022-02-21,47,155,161,160,36,3,9,3,12,2,11,6,8,12,1
