"","Agency_Name","Fiscal_Year","mean(Total_Salary)","Total_Hours","Percent_Leave"
"54","FIRE DEPARTMENT",2020,95801.2988276299,2441.05779784537,0.0456273764258555
"55","FIRE DEPARTMENT",2021,97502.1774760689,2462.42991384812,0.0686024250159541
"56","FIRE DEPARTMENT",2022,120567.170469374,2559.21633488682,0.0862183754993342
"57","HRA/DEPT OF SOCIAL SERVICES",2015,44889.0140113636,1551.92128409091,0.175568181818182
"58","HRA/DEPT OF SOCIAL SERVICES",2016,47651.2071493507,1719.26273376623,0.0909090909090909
"59","HRA/DEPT OF SOCIAL SERVICES",2017,49526.4404012506,1713.10733194372,0.0828556539864513
"60","HRA/DEPT OF SOCIAL SERVICES",2018,48903.4726750362,1681.5718300338,0.0873973925639788
"61","HRA/DEPT OF SOCIAL SERVICES",2019,50328.7826773567,1674.85222546161,0.131681243926142
"62","HRA/DEPT OF SOCIAL SERVICES",2020,51785.9040375825,1720.21833417979,0.122905027932961
"63","HRA/DEPT OF SOCIAL SERVICES",2021,56907.1037782562,1819.36978471475,0.118406889128095
"64","HRA/DEPT OF SOCIAL SERVICES",2022,56708.2769636964,1768.66989548955,0.194719471947195
"65","NYC HOUSING AUTHORITY",2015,50761.2663104089,1837.92309944238,0.12639405204461
"66","NYC HOUSING AUTHORITY",2016,52991.1300926672,1632.94171635778,0.257856567284448
"67","NYC HOUSING AUTHORITY",2017,55976.9722131931,1835.03180210325,0.158221797323136
"68","NYC HOUSING AUTHORITY",2018,56128.3610497238,1834.59385359116,0.156537753222836
"69","NYC HOUSING AUTHORITY",2019,54309.0195882078,1763.93348151614,0.179691155825924
"70","NYC HOUSING AUTHORITY",2020,58283.4583552632,1831.24801691729,0.173402255639098
"71","NYC HOUSING AUTHORITY",2021,60741.8158867428,1838.15931079895,0.212028094820018
"72","NYC HOUSING AUTHORITY",2022,58035.0790333586,1750.09107278241,0.224412433661865
"73","POLICE DEPARTMENT",2015,83182.4859643161,2206.65837581422,0.0162843387142453
"74","POLICE DEPARTMENT",2016,86805.956720972,2203.11307055088,0.00635095954714897
"75","POLICE DEPARTMENT",2017,92649.5301429908,2131.32033542697,0.00494454095950822
"76","POLICE DEPARTMENT",2018,86043.2706710072,2132.39351714058,0.0033218176986447
"77","POLICE DEPARTMENT",2019,87739.1937027503,2133.61800027097,0.00311610892832949
"78","POLICE DEPARTMENT",2020,91113.4897133244,2281.87277927322,0.00336473755047106
"79","POLICE DEPARTMENT",2021,86634.0767191958,2144.36010188833,0.00679255535932618
"80","POLICE DEPARTMENT",2022,93686.6549036195,2248.29292747192,0.0187213978643739
